Epoch,Train_Loss,Val_Loss,Val_IoU,Val_F1,Best_Thr,Learning_Rate
1,0.5786505808862739,0.4062497890076767,0.39660060596740215,0.5228390548415096,0.7,9.972883382072954e-05
2,0.4202462473215583,0.3165988454666848,0.5157818845117591,0.6280556737644869,0.9,9.891830623632339e-05
3,0.3409058704900627,0.24860899642748663,0.5802829505146839,0.6856474610534568,0.8,9.757729755661011e-05
4,0.2891001426055132,0.2009631661102713,0.6140885039440158,0.7158513505196896,0.6,9.572050015330873e-05
5,0.250323115967032,0.17262635378910302,0.6226326889714524,0.7209616204285767,0.5,9.336825748732972e-05
6,0.22050766886838039,0.1613547942011232,0.6306902101385343,0.7270966210231585,0.6,9.05463412215599e-05
7,0.2040142810324025,0.17338268940474313,0.6179755416107906,0.7119852248104972,0.7,8.728566886113101e-05
8,0.18343285555135644,0.15330999176302823,0.6495822290069512,0.7424516206688289,0.9,8.362196501476347e-05
9,0.1755283444417728,0.13471420859357935,0.6726023804019012,0.764084457979375,0.5,7.959536998847741e-05
10,0.16321933670928374,0.13321002244580227,0.6641689424850414,0.7560670750163064,0.8,7.524999999999999e-05
11,0.14767029076705138,0.14199512495862365,0.6762297665067073,0.7647533466173392,0.9,7.06334638322521e-05
12,0.14544447220713408,0.12603285228067015,0.695308488810042,0.7789425670201663,0.7,6.579634122155988e-05
13,0.14060268462745648,0.12278139335801778,0.7039157074784292,0.7873388229674579,0.5,6.079162869547907e-05
14,0.1274088020059142,0.12814250230479582,0.6885481354972937,0.7722586676909629,0.3,5.567415893174884e-05
15,0.12347727011126317,0.12074923772105159,0.6976159698185201,0.7795356049906953,0.3,5.05e-05
16,0.12128619656330276,0.11734990973760571,0.7031003829679872,0.7861281834242795,0.3,4.532584106825115e-05
17,0.1156002931208651,0.11615684538956209,0.7071753135235225,0.7892850934650106,0.5,4.0208371304520894e-05
18,0.1075523354967374,0.1166613454774436,0.7085573804350616,0.7892233422422315,0.3,3.520365877844009e-05
19,0.10724528511542093,0.11727234236335067,0.7069274079805339,0.7873440033706958,0.7,3.036653616774789e-05
20,0.10258132319691307,0.1143538369453486,0.7110162478527127,0.7921237537603277,0.6,2.5750000000000002e-05
21,0.09672938295844127,0.11474396425124048,0.7202747288330961,0.7990109353616597,0.6,2.140463001152258e-05
22,0.0949978206115189,0.1128180088872994,0.7181135414549674,0.7976213432710497,0.7,1.737803498523653e-05
23,0.09630565260756786,0.11248199851782094,0.7259994693341991,0.8037143211527958,0.5,1.3714331138868993e-05
24,0.09025492024605415,0.11212022867875522,0.7262579803591542,0.8052471450330686,0.7,1.0453658778440105e-05
25,0.09011061734659985,0.112044615377129,0.7243033403915711,0.8028221509690946,0.4,7.631742512670283e-06
26,0.09005484671199145,0.11292992698671848,0.7207474739516252,0.8005611398560404,0.4,5.2794998466912506e-06
27,0.09153106449924472,0.11205624394745556,0.7235504659201396,0.802649098915131,0.4,3.4227024433898994e-06
28,0.08655683676713521,0.11389957885142056,0.7239511163445653,0.8034652280292962,0.4,2.0816937636766182e-06
29,0.08782360149013631,0.11248585038389336,0.7258719095497888,0.8050899383376465,0.4,1.2711661792704665e-06
30,0.08899973714256085,0.11288295362598944,0.7226187085915657,0.8020634734391942,0.5,1e-06
